ID,Source_Form_ID,Target_Form_ID,Comment,Subset,Example_ID
025049-aki-aciakwi-diminutive,025049-aki-aciakwi-diminutive-s,025049-aki-aciakwi-diminutive-t,,30sources,025049-aki-aciakwi-diminutive
025057-meli-meli-pejorative,025057-meli-meli-pejorative-s,025057-meli-meli-pejorative-t,,30sources,025057-meli-meli-pejorative
025060-han-han-same,025060-han-han-same-s,025060-han-han-same-t,,30sources,025060-han-han-same
025002-uyay-uy-apossessive,025002-uyay-uy-apossessive-s,025002-uyay-uy-apossessive-t,,othersources,025002-uyay-uy-apossessive
025039-isisi-si-honorific,025039-isisi-si-honorific-s,025039-isisi-si-honorific-t,,30sources,025039-isisi-si-honorific
025040-salp-sapzapcapap-honorific,025040-salp-sapzapcapap-honorific-s,025040-salp-sapzapcapap-honorific-t,,othersources,025040-salp-sapzapcapap-honorific
025053-ha-ha-proverb,025053-ha-ha-proverb-s,025053-ha-ha-proverb-t,,30sources,025053-ha-ha-proverb
025059-isalam-isalam-personalpronoun,025059-isalam-isalam-personalpronoun-s,025059-isalam-isalam-personalpronoun-t,,30sources,025059-isalam-isalam-personalpronoun
025043-n-n-relativizer,025043-n-n-relativizer-s,025043-n-n-relativizer-t,,othersources,025043-n-n-relativizer
025021-eka-eka-andative,025021-eka-eka-andative-s,025021-eka-eka-andative-t,,30sources,025021-eka-eka-andative
025006-puthe-pwuthe-ablativespatial,025006-puthe-pwuthe-ablativespatial-s,025006-puthe-pwuthe-ablativespatial-t,,othersources,025006-puthe-pwuthe-ablativespatial
025048-uytwiey-uytwiey-behind,025048-uytwiey-uytwiey-behind-s,025048-uytwiey-uytwiey-behind-t,,30sources,025048-uytwiey-uytwiey-behind
025062-poko-poko-allative,025062-poko-poko-allative-s,025062-poko-poko-allative-t,,30sources,025062-poko-poko-allative
025070-uyyephey-uyyephey-locative,025070-uyyephey-uyyephey-locative-s,025070-uyyephey-uyyephey-locative-t,,30sources,025070-uyyephey-uyyephey-locative
