ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
guadelopeancreole-pronoun-proverb,guadelopeancreole,pronoun-proverb,OBJECT PRONOUN,,mwen,
guineabissaukriyol-definiteness,guineabissaukriyol,definiteness,INDEFINITE ARTICLE,,utru,
guyanais-pronoun-proverb,guyanais,pronoun-proverb,RECIPROCAL,,kompannyen,
haitiancreole-aspect,haitiancreole,aspect,PROGRESSIVE / HABITUAL,,ap / konn,
haitiancreole-definiteness,haitiancreole,definiteness,DEFINITE ARTICLE,,=la,
haitiancreole-number,haitiancreole,number,PLURAL (particle),,yo,
hindi-conjunction,hindi,conjunction,"alternative QUESTION marker ('or') / CONVERB marker / CONJUNCTION ('then, so')",,"ki / -kar, -ke / to",
hindi-case-adposition,hindi,case-adposition,ABLATIVE / DATIVE case marker / ACCUSATIVE case marker / ERGATIVE case marker / 'by (means of)' / near (SPATIAL postposition) / behind (SPATIAL postposition),,se / ko / ko / ne / dvārā / pās / pīcche,
hindi-modality,hindi,modality,"Specific DEONTIC OBLIGATION 'must' / constraining OBLIGATION ('be obliged to, have to') / default POSSIBILITY 'can, may' / POSSIBILITY mood ""can"" ""succeed"" / ABILITY mood ""be able"" / OBLIGATION ""should""",,honā / paṛnā / saknā / pānā / ānā / cāhie,
hindi-valency-change,hindi,valency-change,INTRANSITIVE/MEDIO-PASSIVE marker / REFLEXIVE 'self' / PASSIVE voice marker (transitive and intransitive) / TRANSITIVITY/CAUSATIVE marker / PERMISSIVE CAUSATION aux,,honā / apne / jānā / karnā / denā,
hindi-aspect,hindi,aspect,DURATIVE continuative / PROGRESSIVE / HABITUAL /FREQUENTATIVE / TERMINATIVE / INCHOATIVE,,rahnā / rahnā / karnā / cuknā / lagnā,
hindi-information-structure-devices,hindi,information-structure-devices,"FOCUS, EMPHATIC marker (of possessor) / TOPIC (Contrastive topic particle)",,apnī / to,
hindi-possession,hindi,possession,GENITIVE marker,,kā,
hindi-pronoun-proverb,hindi,pronoun-proverb,PERSONAL PRONOUN (2. person HONORIFIC),,āp,
hindi-tense,hindi,tense,FUTURE (suffix),,-gā,
hindi-relativization,hindi,relativization,RELATIVIZER (Correlative after a relative),,to,
hoocak-number,hoocak,number,PLURAL marker (SAP),,-wi,
hoocak-aspect,hoocak,aspect,CONTINUATIVE aspect / FREQUENTATIVE / CONTINUATIVE aspect,,=(h)ak/=(h)ąk / =ke / -he,
hoocak-conjunction,hoocak,conjunction,SUBORDINATOR (SIMULTANITY) / SUBORDINATOR (CONTINUATIVE),,='ų / =ga,
hoocak-noun-classification,hoocak,noun-classification,PROPER NAME marker / FEMALE (sexus marker for proper names),,=ga / -wį,
hoocak-definiteness,hoocak,definiteness,DEFINITE ARTICLE / INDEFINITE ARTICLE,,=ra / =(h)ižą,
hoocak-agreement,hoocak,agreement,first person DUAL/PLURAL (inclusive) UNDERGOER prefix,,"wąągá-, wąągá-...-wi",
hoocak-case-adposition,hoocak,case-adposition,INSTRUMENTAL prefix ('by hand') / general LOCATIVE postposition,,ru- / eeja,
hoocak-evaluative,hoocak,evaluative,DIMINUTIVE marker,,"=nįk, =įk",
hoocak-information-structure-devices,hoocak,information-structure-devices,FOCUS marker / TOPIC marker,,=ži / =gi,
